,0,1,2,3,4,5,6,7,8,9,10,11
0,468,404,129,1425,94,2010-Q1,1,A02,A00,U,11,18
1,1043,993,89,3412,67,2010-Q1,1,A07,A00,U,11,18
2,135,114,63,1040,38,2010-Q1,2,A02,A00,U,11,18
3,445,409,61,2063,43,2010-Q1,2,A07,A00,U,11,18
4,91,86,10,3241,8,2010-Q1,1,A02,A00,U,21,18
5,918,887,26,5859,36,2010-Q1,1,A07,A00,U,21,18
6,5,5,,2151,0,2010-Q1,2,A02,A00,U,21,18
7,92,88,4,3472,5,2010-Q1,2,A07,A00,U,21,18
8,54,51,19,2064,5,2010-Q1,1,A02,A00,U,22,18
9,3382,3230,101,7531,226,2010-Q1,1,A07,A00,U,22,18
10,18,14,9,1522,4,2010-Q1,2,A02,A00,U,22,18
11,856,815,44,4698,66,2010-Q1,2,A07,A00,U,22,18
12,2406,1955,868,1574,716,2010-Q1,1,A02,A00,U,23,18
13,10358,9377,1515,4703,1498,2010-Q1,1,A07,A00,U,23,18
14,308,248,86,1138,93,2010-Q1,2,A02,A00,U,23,18
15,2352,2178,221,2500,243,2010-Q1,2,A07,A00,U,23,18
16,522,409,438,1624,224,2010-Q2,1,A02,A00,U,11,18
17,1159,1016,258,3456,217,2010-Q2,1,A07,A00,U,11,18
18,164,117,248,1230,104,2010-Q2,2,A02,A00,U,11,18
19,510,442,125,2023,110,2010-Q2,2,A07,A00,U,11,18
20,86,81,62,3614,9,2010-Q2,1,A02,A00,U,21,18
21,983,961,75,5491,41,2010-Q2,1,A07,A00,U,21,18
22,4,4,6,2572,,2010-Q2,2,A02,A00,U,21,18
23,96,94,5,3561,4,2010-Q2,2,A07,A00,U,21,18
24,61,56,107,2203,9,2010-Q2,1,A02,A00,U,22,18
25,3407,3289,38,6975,131,2010-Q2,1,A07,A00,U,22,18
26,20,19,35,1441,3,2010-Q2,2,A02,A00,U,22,18
27,866,836,11,4324,34,2010-Q2,2,A07,A00,U,22,18
28,2561,2057,2570,2054,1133,2010-Q2,1,A02,A00,U,23,18
29,11726,10554,3861,4910,2538,2010-Q2,1,A07,A00,U,23,18
30,302,255,364,1443,125,2010-Q2,2,A02,A00,U,23,18
31,2556,2363,420,2692,318,2010-Q2,2,A07,A00,U,23,18
32,743,442,740,1696,836,2010-Q3,1,A02,A00,U,11,18
33,1180,1073,533,3452,447,2010-Q3,1,A07,A00,U,11,18
34,315,156,383,1221,444,2010-Q3,2,A02,A00,U,11,18
35,509,453,242,2223,178,2010-Q3,2,A07,A00,U,11,18
36,117,88,44,3597,35,2010-Q3,1,A02,A00,U,21,18
37,1019,983,21,5998,43,2010-Q3,1,A07,A00,U,21,18
38,10,5,,2379,7,2010-Q3,2,A02,A00,U,21,18
39,98,93,8,3559,6,2010-Q3,2,A07,A00,U,21,18
40,146,70,28,2362,83,2010-Q3,1,A02,A00,U,22,18
41,3395,3150,38,6809,258,2010-Q3,1,A07,A00,U,22,18
42,53,20,4,1486,34,2010-Q3,2,A02,A00,U,22,18
43,869,810,5,4337,60,2010-Q3,2,A07,A00,U,22,18
44,3696,2326,1713,2148,2100,2010-Q3,1,A02,A00,U,23,18
45,13180,11558,3069,4952,3053,2010-Q3,1,A07,A00,U,23,18
46,504,284,202,1504,328,2010-Q3,2,A02,A00,U,23,18
47,2667,2449,328,2759,334,2010-Q3,2,A07,A00,U,23,18
48,602,370,149,1713,309,2010-Q4,1,A02,A00,U,11,18
49,1274,980,257,3913,405,2010-Q4,1,A07,A00,U,11,18
50,244,131,71,1077,157,2010-Q4,2,A02,A00,U,11,18
51,566,413,125,2246,210,2010-Q4,2,A07,A00,U,11,18
52,110,94,24,4044,21,2010-Q4,1,A02,A00,U,21,18
53,1038,962,26,6589,89,2010-Q4,1,A07,A00,U,21,18
54,6,5,,2728,3,2010-Q4,2,A02,A00,U,21,18
55,98,91,,4246,8,2010-Q4,2,A07,A00,U,21,18
56,78,67,8,2756,11,2010-Q4,1,A02,A00,U,22,18
57,3320,3251,34,8099,82,2010-Q4,1,A07,A00,U,22,18
58,21,20,3,1396,,2010-Q4,2,A02,A00,U,22,18
59,846,823,14,5147,31,2010-Q4,2,A07,A00,U,22,18
60,3027,2039,1101,2105,1502,2010-Q4,1,A02,A00,U,23,18
61,13459,10434,2657,5764,4560,2010-Q4,1,A07,A00,U,23,18
62,348,246,139,1354,164,2010-Q4,2,A02,A00,U,23,18
63,2637,2234,302,3168,569,2010-Q4,2,A07,A00,U,23,18
64,436,374,136,1476,90,2011-Q1,1,A02,A00,U,11,18
65,1098,1021,83,3448,99,2011-Q1,1,A07,A00,U,11,18
66,151,122,45,967,42,2011-Q1,2,A02,A00,U,11,18
67,470,435,64,2183,44,2011-Q1,2,A07,A00,U,11,18
68,98,83,42,3857,16,2011-Q1,1,A02,A00,U,21,18
69,986,935,35,6073,55,2011-Q1,1,A07,A00,U,21,18
70,3,3,,2218,0,2011-Q1,2,A02,A00,U,21,18
71,91,85,7,3559,7,2011-Q1,2,A07,A00,U,21,18
72,69,63,16,2142,7,2011-Q1,1,A02,A00,U,22,18
73,3416,3236,197,8455,343,2011-Q1,1,A07,A00,U,22,18
74,22,17,5,1333,5,2011-Q1,2,A02,A00,U,22,18
75,865,815,65,5138,103,2011-Q1,2,A07,A00,U,22,18
76,2345,1836,894,1666,830,2011-Q1,1,A02,A00,U,23,18
77,11448,10140,1952,4709,2199,2011-Q1,1,A07,A00,U,23,18
78,303,240,118,1053,111,2011-Q1,2,A02,A00,U,23,18
79,2362,2179,269,2577,303,2011-Q1,2,A07,A00,U,23,18
80,499,395,462,1689,232,2011-Q2,1,A02,A00,U,11,18
81,1163,1076,271,3534,158,2011-Q2,1,A07,A00,U,11,18
82,159,126,207,1209,80,2011-Q2,2,A02,A00,U,11,18
83,545,497,144,2169,90,2011-Q2,2,A07,A00,U,11,18
84,120,111,76,4436,16,2011-Q2,1,A02,A00,U,21,18
85,1046,1011,58,5944,42,2011-Q2,1,A07,A00,U,21,18
86,5,4,8,2213,,2011-Q2,2,A02,A00,U,21,18
87,99,97,9,3953,5,2011-Q2,2,A07,A00,U,21,18
88,67,63,88,2628,12,2011-Q2,1,A02,A00,U,22,18
89,3396,3266,49,7310,147,2011-Q2,1,A07,A00,U,22,18
90,22,20,32,1456,3,2011-Q2,2,A02,A00,U,22,18
91,860,836,17,4444,27,2011-Q2,2,A07,A00,U,22,18
92,2335,1889,2901,2125,1131,2011-Q2,1,A02,A00,U,23,18
93,12558,11155,4461,5084,3011,2011-Q2,1,A07,A00,U,23,18
94,304,246,351,1341,123,2011-Q2,2,A02,A00,U,23,18
95,2541,2364,508,2783,320,2011-Q2,2,A07,A00,U,23,18
96,726,468,757,1712,801,2011-Q3,1,A02,A00,U,11,18
97,1288,1172,506,3720,413,2011-Q3,1,A07,A00,U,11,18
98,301,150,365,1250,414,2011-Q3,2,A02,A00,U,11,18
99,590,532,248,3106,170,2011-Q3,2,A07,A00,U,11,18
